SA2 code,5 year growth rate
213051466,12.97
213051467,0.97
213051468,4.79
214011370,1.41
214011371,1.16
214011372,0.24
214011373,0.74
214011374,1.24
214011375,0.60
214011376,2.60
214021377,4.40
214021378,0.26
214021379,1.50
214021380,1.59
214021381,0.88
214021382,1.38
214021383,1.36
214021384,1.26
214021385,1.14
201011001,6.47
201011002,-0.29
201011003,1.10
201011004,1.39
201011005,1.66
201011006,4.67
201011007,0.54
201011008,0.41
201021009,1.12
201021010,0.92
201021011,0.96
201021012,1.11
201031013,0.09
201031014,1.92
201031015,2.05
201031016,0.67
201031017,0.70
202011018,-0.07
202011019,2.86
202011020,-0.16
202011021,0.43
202011022,0.96
202011023,2.64
202011024,4.32
202011025,5.78
202021026,3.40
202021027,1.74
202021028,0.74
202021029,1.56
202021030,1.57
202021031,1.85
202031032,1.35
202031033,-0.11
203011034,4.97
203011035,1.93
203011036,0.22
203021037,0.84
203021038,0.61
203021039,1.24
203021040,1.10
203021041,5.81
203021042,2.09
203021043,3.19
203021044,3.88
203021045,0.03
203021046,0.99
203021047,1.22
203031048,3.63
203031049,0.85
203031050,5.60
203031051,2.36
203031052,0.99
203031053,3.98
204011054,1.00
204011055,1.08
204011056,2.98
204011057,1.63
204011058,2.19
204011059,-0.15
204011060,0.89
204011061,-1.40
204011062,1.47
204021063,-0.06
204021064,1.07
204021065,1.06
204021066,1.10
204021067,0.87
204031068,1.64
204031069,1.04
204031070,1.00
204031071,0.43
204031072,0.32
204031073,0.42
204031074,2.96
204031075,0.61
205011076,3.91
205011077,0.26
205011078,1.68
205011079,2.70
205021080,
205021081,2.09
205021082,1.26
205021083,
205021084,0.90
205021085,-0.65
205021086,2.50
205031087,0.99
205031088,0.18
205031089,0.93
205031090,0.76
205031091,2.80
205031092,-1.47
205031093,2.26
205041094,0.02
205041095,-0.09
205041096,-0.25
205041097,0.89
205041098,0.52
205051099,-2.33
205051100,1.42
205051101,0.66
205051102,0.60
205051103,0.48
205051104,0.25
215011386,0.38
215011387,0.95
215011388,0.33
215011389,-0.31
215011390,-1.02
215011391,-1.58
215011392,-0.48
215011393,-0.90
215011394,-1.08
215021395,0.89
215021396,0.74
215021398,-0.35
215021399,1.19
215021469,0.76
215021470,1.24
215031400,-0.64
215031401,0.16
215031402,-0.17
215031403,-0.98
215031404,0.39
215031405,-0.90
216011406,0.50
216011407,0.13
216011408,0.18
216011409,0.07
216011410,-0.32
216021411,0.17
216021412,0.50
216021413,0.00
216021414,1.98
216031415,0.28
216031416,1.26
216031417,1.16
216031418,-0.22
216031419,0.49
217011420,-0.25
217011421,-0.05
217011422,-0.03
217011423,-0.70
217031471,0.19
217031472,0.63
217031473,-0.15
217031474,-0.35
217031475,-0.69
217031476,0.46
217041477,-0.24
217041478,1.00
217041479,1.29
217041480,0.12
299999499,
297979799,
301011001,-0.51
301011002,0.15
301011003,0.53
301011004,1.16
301011005,1.18
301011006,0.94
301021007,0.38
301021008,0.56
301021009,2.98
301021011,3.60
301021012,3.49
301021013,0.26
301021527,1.54
301031014,2.38
301031015,0.59
301031016,1.31
301031017,0.80
301031018,0.56
301031019,1.80
301031020,0.99
301031021,0.45
302011022,0.72
302011023,1.73
302011024,2.30
302011025,1.51
302011026,0.79
302021027,0.13
302021028,2.67
302021029,0.52
302021030,-0.02
302021031,1.77
302021032,1.52
302021033,0.51
302021034,0.76
302031035,0.94
302031036,-0.40
302031037,16.71
302031038,0.51
302031039,1.83
302031040,3.60
302041041,0.20
302041042,0.83
302041043,1.03
302041044,0.23
302041045,6.32
302041046,1.50
303011047,1.36
303011048,4.50
303011049,1.60
303011050,1.44
303011051,0.55
303021052,1.05
303021053,2.16
303021054,2.70
303021055,1.15
303021056,1.45
303021057,1.11
303021058,2.36
303021059,2.23
303031060,1.05
303031061,0.99
303031062,0.55
303031063,1.63
303031064,9.65
303031065,1.85
303031066,0.82
303041067,3.18
303041068,1.13
303041069,0.64
303041070,0.17
303041071,1.49
303051072,0.77
303051073,2.39
303051074,4.33
303051075,1.47
303051076,2.00
303061077,1.52
303061078,1.10
303061079,1.43
303061080,0.77
304011081,-0.18
304011082,-0.13
304011083,0.71
304011084,-0.13
304011085,-0.37
304021086,1.50
304021087,-0.27
304021088,0.17
304021089,1.68
304021090,0.84
304021091,-0.23
304031092,2.27
304031093,1.01
304031094,1.06
304031095,1.37
304031096,2.30
304031097,1.75
304041098,2.12
304041099,0.00
304041100,-0.03
304041101,1.45
304041102,
304041103,0.30
304041104,2.19
305011105,3.32
305011106,6.72
305011107,1.76
305011108,3.71
305011109,1.46
305011110,7.29
305011111,2.62
305011112,5.59
305021113,1.99
305021114,2.23
305021115,0.93
305021116,0.60
305021117,2.28
305021118,1.37
305031119,3.99
305031120,1.49
305031121,0.47
305031122,0.76
305031123,0.41
305031124,4.77
305031125,1.08
305031126,5.19
305031127,1.91
305031128,9.29
305031129,0.07
305031130,2.50
305031131,2.69
305041132,0.93
305041133,0.53
305041134,1.07
305041135,1.95
305041136,0.79
305041137,1.30
310011271,1.22
310011272,2.49
310011273,1.81
310011274,2.62
310011275,1.80
310011276,3.12
310021277,1.59
310021278,0.99
310021279,
310021280,1.88
310021281,2.32
310021282,1.47
310031283,2.99
310031284,2.15
310031285,2.07
310031286,0.09
310031287,1.08
310031288,1.53
310031289,2.43
310031290,0.30
310031291,2.68
310031292,0.21
310031293,0.80
310031294,12.82
310031295,-1.74
310041296,8.90
310041297,0.36
310041298,-16.74
310041299,1.38
310041300,2.22
310041301,
310041302,4.84
310041303,0.99
310041304,8.69
311011305,2.17
311021306,0.04
311021307,1.50
311021308,3.23
311021309,0.25
311021310,2.18
311031311,0.84
311031312,1.11
311031313,6.14
311031314,1.24
311031315,
311031316,0.92
311031317,3.64
311031318,0.25
311031319,0.38
311041320,1.83
311041321,6.72
311041322,4.26
311051323,4.26
311051324,1.47
311051325,0.37
311051326,2.28
311051327,0.59
311051328,0.48
311061329,0.49
311061330,-0.50
311061331,-0.47
311061332,0.64
311061333,-0.63
311061334,0.66
311061335,2.38
311061336,-1.13
313011362,1.91
313011363,1.24
313021364,2.27
313021365,2.89
313021366,1.63
313021367,1.01
313021368,2.49
313021369,2.43
313031370,1.50
313031371,3.17
313041372,1.83
313041373,0.43
313041374,0.02
313041375,2.57
313041376,2.13
313051377,0.39
313051378,0.96
313051379,1.43
313051380,0.48
313051542,1.40
314011382,0.14
314011383,3.59
314011384,2.22
314011385,-0.01
314011386,0.42
314011387,1.25
314021388,3.49
314021389,8.02
314021390,8.32
314031391,0.28
314031392,0.67
314031393,0.15
314031394,1.72
306011138,0.26
306011139,1.28
306011140,-0.42
306011141,1.69
306011142,4.37
306011143,0.54
306021144,1.09
306021145,2.48
306021146,-0.37
306021147,0.71
306021148,1.49
306021149,1.10
306021150,
306021151,0.40
306021152,0.61
306021153,0.24
306021154,-0.11
306021155,0.56
306021156,0.20
306021157,-0.23
306031158,-0.12
